time,open,volume,MACD,MACD_Hist,MACD_Signal,high,low
5/31/2023 10:51,416.94,126113,-0.0508,0.068,-0.1189,417.19,416.295
5/31/2023 10:50,416.84,112856,-0.0691,0.0668,-0.1359,417.19,416.295
5/31/2023 10:49,416.85,100956,-0.0813,0.0713,-0.1526,417.19,416.295
5/31/2023 10:48,416.92,85483,-0.0966,0.0738,-0.1704,417.19,416.295
5/31/2023 10:47,416.79,139784,-0.1219,0.0669,-0.1889,417.19,416.295
5/31/2023 10:46,416.9,130268,-0.1392,0.0664,-0.2056,417.19,416.295
5/31/2023 10:45,416.67,312343,-0.1705,0.0517,-0.2222,417.19,416.295
5/31/2023 10:44,416.74,100349,-0.1844,0.0507,-0.2351,417.19,416.295
5/31/2023 10:43,416.67,139607,-0.2067,0.0411,-0.2478,417.19,416.295
5/31/2023 10:42,416.55,175053,-0.225,0.033,-0.2581,417.19,416.295
5/31/2023 10:41,416.64,97276,-0.2329,0.0334,-0.2663,417.19,416.295
5/31/2023 10:40,416.62,211322,-0.2488,0.0259,-0.2746,417.19,416.295
5/31/2023 10:39,416.63,85027,-0.2633,0.0178,-0.2811,417.19,416.295
5/31/2023 10:38,416.37,185006,-0.2791,0.0065,-0.2856,417.19,416.295
5/31/2023 10:37,416.59,263939,-0.2687,0.0185,-0.2872,417.19,416.295
5/31/2023 10:36,416.665,435262,-0.2739,0.018,-0.2918,417.19,416.295
5/31/2023 10:35,416.55,237502,-0.2842,0.0121,-0.2963,417.19,416.295
5/31/2023 10:34,416.78,201646,-0.2815,0.0179,-0.2994,417.19,416.295
5/31/2023 10:33,416.7,170764,-0.2974,0.0065,-0.3038,417.19,416.295
